Source,Target, Weight
numerical method,numerical methods,167
numerical method,numerical results,324
numerical method,numerical examples,221
numerical method,numerical solution,217
error detection,error correction,257
standard model,random oracle model,157
ordinary differential equations,differential equations,244
ordinary differential equations,partial differential equations,184
differential equations,differential equation,326
differential equations,partial differential equations,172
differential equations,dynamical systems,174
differential equations,numerical methods,179
electric field,electric fields,164
false alarm,detection performance,246
closed form,analytical results,156
closed form,probability density function,150
adaptive control,control law,209
adaptive control,nonlinear systems,173
adaptive control,unknown parameters,155
dynamic programming,linear programming,165
dynamic programming,optimal solution,411
dynamic programming,optimal control,566
dynamic programming,objective function,184
dynamic programming,dynamic programming dp,198
maximum likelihood,monte carlo,177
maximum likelihood,parameter estimation,464
maximum likelihood,likelihood function,240
maximum likelihood,computational complexity,280
maximum likelihood,real data,286
maximum likelihood,maximum likelihood estimation,171
problem solving,computer science,214
problem solving,decision making,236
problem solving,artificial intelligence,157
shortest path,routing algorithm,252
shortest path,shortest paths,680
shortest path,routing protocol,195
shortest path,routing algorithms,162
shortest path,ad hoc,160
random access,slotted aloha,174
amino acid,amino acids,519
amino acid,protein structure,168
automatic speech recognition,speech recognition,596
speech recognition,speech synthesis,163
speech recognition,feature extraction,363
speech recognition,natural language,263
speech recognition,machine translation,152
speech recognition,speech signals,229
speech recognition,word recognition,192
speech recognition,maximum likelihood,193
speech recognition,hidden markov model,246
speech recognition,continuous speech recognition,236
speech recognition,robust speech recognition,211
speech recognition,noisy speech,227
speech recognition,hidden markov models hmms,156
speech recognition,noisy environments,243
speech recognition,automatic speech recognition asr,439
pattern recognition,image processing,652
pattern recognition,neural network,792
pattern recognition,object recognition,171
pattern recognition,feature vectors,172
pattern recognition,training data,256
pattern recognition,feature space,247
dynamic range,power consumption,267
dynamic range,high dynamic range hdr,217
phase transition,phase transitions,202
line segment,line segments,315
regular expressions,regular expression,378
statistical analysis,machine learning,189
transmission lines,transmission line,276
random walk,random walks,550
integrated circuits,power consumption,181
finite difference,partial differential equations,167
finite difference,numerical methods,155
finite difference,numerical solution,263
finite difference,numerical results,343
finite difference,numerical examples,202
finite difference,numerical method,176
integrated circuit,integrated circuits,210
iterative method,numerical results,154
iterative method,numerical examples,150
loss function,loss functions,233
feature extraction,pattern recognition,723
feature extraction,neural network,705
linear program,linear programming,466
linear program,optimal solution,174
linear program,linear programs,150
electrical engineering,computer science,343
level set,level sets,251
level set,image segmentation,414
virtual machine,operating systems,191
virtual machine,virtual machines,1190
virtual machine,cloud computing,722
random variables,random variable,409
random variables,mutual information,155
random variables,monte carlo,152
sensitivity analysis,numerical examples,178
partial differential equation,partial differential equations,150
second order,differential equations,153
second order,first order,625
second order,finite difference,229
parallel programming,parallel programs,201
parallel programming,message passing,201
parallel programming,shared memory,279
parallel programming,parallel computing,260
partial differential equations,numerical solution,222
sufficient conditions,differential equations,190
sufficient conditions,optimal control,185
sufficient conditions,dynamical systems,184
sufficient conditions,numerical examples,703
sufficient conditions,special cases,207
sufficient conditions,optimization problem,190
sufficient conditions,sufficient condition,494
sufficient conditions,linear systems,248
sufficient conditions,equilibrium point,218
sufficient conditions,theoretical results,501
sufficient conditions,neural network,152
sufficient conditions,activation functions,161
sufficient conditions,main result,155
sufficient conditions,asymptotically stable,151
sufficient conditions,asymptotic stability,315
sufficient conditions,numerical simulations,310
sufficient conditions,linear matrix inequalities,341
sufficient conditions,global asymptotic stability,173
sufficient conditions,linear matrix inequalities lmis,154
sufficient conditions,global exponential stability,218
sufficient conditions,time delays,205
optimal control,linear quadratic,177
optimal control,control law,186
optimal control,numerical results,259
optimal control,neural network,181
optimal control,optimality conditions,178
optimal control,control policy,157
optimal control,infinite horizon,163
optimal control,neural networks,150
real time,feature extraction,221
real time,pattern recognition,152
real time,quality of service qos,256
real time,computer vision,376
real time,virtual environment,197
real time,mobile robot,267
real time,image processing,465
real time,neural network,465
real time,decision making,200
real time,virtual reality,250
real time,quality of service,204
real time,resource allocation,156
real time,wireless communication,178
real time,embedded systems,195
real time,augmented reality,209
real time,kalman filter,160
real time,control system,209
real time,cloud computing,168
real time,big data,179
neural networks,neural network,6855
neural networks,machine learning,928
neural networks,learning algorithm,631
neural networks,feature extraction,343
neural networks,training set,274
neural networks,pattern recognition,683
neural networks,image processing,221
neural networks,speech recognition,250
neural networks,associative memory,181
neural networks,sufficient conditions,447
neural networks,supervised learning,278
neural networks,computer vision,168
neural networks,adaptive control,258
neural networks,nonlinear systems,173
neural networks,multilayer perceptron,374
neural networks,training data,531
neural networks,genetic algorithms,628
neural networks,computational complexity,172
neural networks,numerical simulations,210
neural networks,generalization performance,177
neural networks,theoretical results,282
neural networks,reinforcement learning,268
neural networks,decision making,210
neural networks,gradient descent,155
neural networks,artificial neural networks anns,230
neural networks,real time,286
neural networks,time delay,167
neural networks,soft computing,204
neural networks,artificial neural network ann,150
neural networks,artificial neural network,320
neural networks,computational intelligence,163
neural networks,neural network nn,160
neural networks,global exponential stability,177
neural networks,particle swarm optimization,166
radiative transfer,remote sensing,201
confidence intervals,confidence interval,214
large scale,real time,229
large scale,small scale,253
large scale,ad hoc,150
large scale,training data,165
large scale,computational complexity,183
large scale,computer vision,150
large scale,social networks,203
large scale,cloud computing,309
large scale,big data,270
lyapunov function,stability analysis,192
lyapunov function,sufficient condition,158
lyapunov function,sufficient conditions,322
resource allocation,optimization problem,753
resource allocation,objective function,173
resource allocation,optimal solution,468
resource allocation,computational complexity,358
resource allocation,scheduling algorithm,190
resource allocation,resource sharing,219
resource allocation,cellular network,286
resource allocation,admission control,243
resource allocation,network resources,234
resource allocation,numerical results,750
resource allocation,resource utilization,357
resource allocation,dynamic resource allocation,281
resource allocation,service providers,186
resource allocation,allocating resources,151
resource allocation,nash equilibrium,161
resource allocation,cloud computing,521
maximum principle,optimal control,203
feature selection,pattern recognition,451
feature selection,feature extraction,627
feature selection,feature vectors,167
feature selection,real data,177
feature selection,computational complexity,190
feature selection,feature set,625
feature selection,classification accuracy,597
feature selection,machine learning,1354
feature selection,decision trees,164
feature selection,feature space,498
feature selection,face recognition,150
feature selection,neural networks,240
feature selection,training data,288
feature selection,neural network,362
feature selection,supervised learning,224
feature selection,classification performance,302
feature selection,relevant features,453
feature selection,feature subset,552
feature selection,breast cancer,165
feature selection,existing methods,174
feature selection,input features,153
feature selection,text classification,212
feature selection,gene expression,339
feature selection,irrelevant features,226
feature selection,curse of dimensionality,153
feature selection,benchmark datasets,173
feature selection,feature subset selection,216
feature selection,classification algorithms,205
feature selection,random forest,188
feature selection,redundant features,210
feature selection,feature ranking,188
feature selection,unsupervised feature selection,178
operating systems,source code,158
operating systems,embedded systems,215
operating systems,operating system,1107
machine learning,pattern recognition,901
machine learning,large scale,360
machine learning,decision making,311
machine learning,learning algorithm,517
machine learning,decision trees,633
machine learning,existing methods,301
machine learning,empirical results,236
machine learning,prior knowledge,204
machine learning,computer science,245
machine learning,computational complexity,273
machine learning,neural network,785
machine learning,classification problem,156
machine learning,computational cost,187
machine learning,feature extraction,559
machine learning,image processing,312
machine learning,reinforcement learning,372
machine learning,training examples,224
machine learning,training data,1109
machine learning,genetic programming,233
machine learning,classification accuracy,498
machine learning,supervised learning,598
machine learning,feature set,245
machine learning,optimization problem,213
machine learning,feature space,372
machine learning,linear regression,195
machine learning,breast cancer,204
machine learning,network traffic,184
machine learning,machine learning ml,229
machine learning,classification performance,245
machine learning,classification algorithms,315
machine learning,natural language processing,236
machine learning,speech recognition,162
machine learning,prediction accuracy,167
machine learning,intrusion detection,266
machine learning,anomaly detection,192
machine learning,time series,278
machine learning,objective function,241
machine learning,clustering algorithm,157
machine learning,image classification,172
machine learning,binary classification,184
machine learning,ground truth,153
machine learning,real time,278
machine learning,significantly improve,184
machine learning,successfully applied,176
machine learning,training samples,210
machine learning,text mining,207
machine learning,gene expression,263
machine learning,synthetic data,171
machine learning,benchmark datasets,287
machine learning,labeled data,283
machine learning,online learning,185
machine learning,support vector machines svms,238
machine learning,random forests,234
machine learning,knowledge discovery,202
machine learning,social networks,206
machine learning,information extraction,208
machine learning,proposed framework,272
machine learning,random forest,420
machine learning,sentiment analysis,220
machine learning,social media,287
higher education,information technology,164
machine translation,natural language,309
natural language,question answering,459
natural language,natural languages,201
natural language,information retrieval,392
natural language,natural language processing,440
natural language,machine learning,668
natural language,source code,163
natural language,wide range,163
natural language,training data,208
natural language,text mining,197
natural language,information extraction,253
natural language,semantic web,243
natural language,sentiment analysis,191
united states,information technology,201
linear combination,basis functions,243
nonlinear programming,objective function,177
dynamical systems,neural networks,174
two dimensional,three dimensional,256
search algorithm,optimal solution,184
search algorithm,computational complexity,198
search algorithm,optimization problem,199
search algorithm,search algorithms,363
search algorithm,search space,221
search algorithm,objective function,158
search algorithm,motion estimation,176
search algorithm,particle swarm optimization,150
spanning tree,spanning trees,479
equilibrium point,neural networks,179
neural network,objective function,208
neural network,object recognition,170
neural network,computer vision,226
neural network,speech recognition,289
neural network,image processing,334
neural network,supervised learning,351
neural network,network architecture,183
neural network,linear regression,155
neural network,mobile robot,248
neural network,training data,701
neural network,reinforcement learning,320
neural network,adaptive control,290
neural network,gradient descent,239
neural network,feature space,188
neural network,feature vectors,218
neural network,training samples,177
neural network,decision making,243
neural network,numerical simulations,172
neural network,artificial neural networks anns,169
neural network,trained neural network,172
neural network,soft computing,151
neural network,training process,154
neural network,particle swarm optimization,265
neural network,control system,246
neural network,proposed model,186
convolutional code,convolutional codes,200
finite state machine,finite state machines,177
linear programming,approximation algorithm,233
linear programming,integer programming,290
linear programming,wireless sensor networks,164
signal processing,pattern recognition,273
signal processing,image processing,375
signal processing,feature extraction,267
signal processing,computational complexity,325
signal processing,time series,158
signal processing,neural networks,225
signal processing,neural network,224
signal processing,machine learning,455
signal processing,power consumption,307
signal processing,real time,262
query language,data model,386
cumulative distribution function,probability density function,315
cumulative distribution function,performance analysis,169
unsupervised learning,machine learning,226
unsupervised learning,neural network,196
unsupervised learning,supervised learning,402
optimization problem,dynamic programming,368
optimization problem,objective function,1216
optimization problem,linear programming,477
optimization problem,computational complexity,513
optimization problem,optimal control,334
optimization problem,optimal solution,1144
optimization problem,global optimization,279
optimization problem,combinatorial optimization,213
optimization problem,iterative algorithm,351
optimization problem,numerical examples,347
optimization problem,cost function,488
optimization problem,large scale,163
optimization problem,approximation algorithm,232
optimization problem,neural network,169
optimization problem,optimization algorithms,198
optimization problem,optimization algorithm,324
optimization problem,existing methods,231
optimization problem,global optimum,166
optimization problem,constrained optimization,160
optimization problem,computationally efficient,159
optimization problem,solved efficiently,150
optimization problem,evolutionary algorithm,219
optimization problem,real time,160
optimization problem,power control,223
optimization problem,power allocation,522
optimization problem,particle swarm optimization,292
optimization problem,proposed framework,150
decision making,linear programming,174
decision making,decision support systems,297
decision making,decision makers,827
decision making,decision maker,471
decision making,information technology,232
decision making,decision process,195
decision making,reinforcement learning,172
decision making,genetic algorithm,151
decision making,supply chain,233
decision making,group decision making,190
decision making,proposed framework,168
numerical examples,special case,181
numerical examples,special cases,203
numerical examples,optimal control,280
numerical examples,objective function,246
numerical examples,optimal solution,316
numerical examples,theoretical results,719
numerical examples,second order,177
numerical examples,numerical methods,167
numerical examples,linear programming,165
numerical examples,numerical solution,387
numerical examples,linear systems,225
numerical examples,boundary conditions,236
numerical examples,sufficient condition,283
numerical examples,performance analysis,234
numerical examples,existing methods,167
numerical examples,analytical results,156
numerical examples,convergence rate,163
numerical examples,differential equations,182
numerical examples,computational cost,162
numerical examples,theoretical analysis,206
numerical examples,numerical results,194
numerical examples,neural network,171
numerical examples,stability analysis,281
numerical examples,neural networks,397
numerical examples,error estimates,173
numerical examples,time delay,157
numerical examples,robust stability,205
numerical examples,supply chain,161
numerical examples,linear matrix inequality,179
numerical examples,lyapunov function,168
numerical examples,linear matrix inequality lmi,168
numerical examples,linear matrix inequalities,289
special case,special cases,270
special case,objective function,157
special case,computational complexity,179
special case,sufficient conditions,221
special case,linear programming,150
special case,approximation algorithm,350
special case,main result,184
special case,optimization problem,193
special case,numerical results,218
special case,approximation algorithms,188
special case,optimal solution,230
optimal solution,linear programming,610
optimal solution,objective function,640
optimal solution,optimal control,270
optimal solution,iterative algorithm,198
optimal solution,computational complexity,392
optimal solution,approximation algorithm,327
optimal solution,feasible solution,186
optimal solution,integer programming,242
optimal solution,numerical results,503
optimal solution,genetic algorithms,204
optimal solution,genetic algorithm,502
optimal solution,neural network,190
optimal solution,local search,175
optimal solution,low complexity,156
optimal solution,base station,204
optimal solution,transmit power,187
optimal solution,power allocation,318
optimal solution,wireless sensor networks,214
optimal solution,cognitive radio,223
remote sensing,image processing,366
remote sensing,synthetic aperture radar,211
remote sensing,feature extraction,150
remote sensing,image data,242
remote sensing,classification accuracy,202
remote sensing,neural network,172
remote sensing,synthetic aperture radar sar,200
remote sensing,spatial resolution,341
remote sensing,land cover,521
remote sensing,image classification,191
remote sensing,soil moisture,193
remote sensing,normalized difference vegetation index ndvi,161
remote sensing,spectral information,151
remote sensing,in situ,299
fuzzy logic,fuzzy set,235
fuzzy logic,fuzzy sets,183
fuzzy logic,membership functions,460
fuzzy logic,neural networks,504
fuzzy logic,neural network,426
fuzzy logic,mobile robot,209
fuzzy logic,rule base,188
fuzzy logic,genetic algorithms,275
fuzzy logic,decision making,283
fuzzy logic,real time,185
fuzzy logic,soft computing,257
fuzzy logic,control system,151
computer graphics,image processing,232
computer graphics,computer vision,476
finite element,partial differential equations,269
finite element,finite difference,226
finite element,numerical results,631
finite element,boundary conditions,332
finite element,numerical experiments,622
finite element,theoretical results,198
finite element,second order,183
finite element,numerical examples,370
finite element,basis functions,182
finite element,numerical solution,284
finite element,error analysis,162
finite element,numerical simulation,154
finite element,finite elements,532
finite element,error estimate,156
computational complexity,real time,272
computational complexity,linear programming,190
computational complexity,pattern recognition,160
computational complexity,parameter estimation,150
computational complexity,dynamic programming,213
computational complexity,existing methods,319
computational complexity,numerical examples,191
computational complexity,image processing,213
computational complexity,computer vision,200
computational complexity,feature extraction,224
computational complexity,performance analysis,180
computational complexity,neural network,224
computational complexity,performance degradation,179
computational complexity,convergence rate,173
computational complexity,objective function,220
