,ID,Label,Count
0,machine learning,machine learning,27560
1,wide range,wide range,27024
2,neural network,neural network,26738
3,numerical results,numerical results,25057
4,computational complexity,computational complexity,23134
5,real time,real time,22292
6,neural networks,neural networks,20723
7,data mining,data mining,20051
8,power consumption,power consumption,19545
9,wireless sensor networks,wireless sensor networks,19529
10,real world,real world,19247
11,optimization problem,optimization problem,18734
12,performance evaluation,performance evaluation,17589
13,genetic algorithm,genetic algorithm,17198
14,ad hoc,ad hoc,16695
15,performance analysis,performance analysis,15758
16,large scale,large scale,15530
17,image processing,image processing,15370
18,decision making,decision making,15333
19,computer vision,computer vision,14882
20,existing methods,existing methods,14690
21,case studies,case studies,14592
22,numerical examples,numerical examples,14325
23,cloud computing,cloud computing,13950
24,real data,real data,13474
25,feature extraction,feature extraction,13228
26,signal processing,signal processing,13068
27,objective function,objective function,13017
28,sufficient conditions,sufficient conditions,12647
29,training data,training data,12634
30,optimal solution,optimal solution,12509
31,web services,web services,12458
32,theoretical analysis,theoretical analysis,12394
33,resource allocation,resource allocation,12379
34,natural language,natural language,12321
35,computer science,computer science,12281
36,software engineering,software engineering,12271
37,support vector machine,support vector machine,12057
38,time series,time series,11712
39,social networks,social networks,11421
40,numerical experiments,numerical experiments,11323
41,information technology,information technology,11007
42,proposed framework,proposed framework,10874
43,feature selection,feature selection,10827
44,software development,software development,10648
45,pattern recognition,pattern recognition,10617
46,existing approaches,existing approaches,10601
47,base station,base station,10588
48,special case,special case,10576
49,source code,source code,10433
50,social network,social network,10266
51,user interface,user interface,9900
52,linear programming,linear programming,9878
53,quality of service qos,quality of service qos,9795
54,numerical simulations,numerical simulations,9736
55,wireless communication,wireless communication,9700
56,low cost,low cost,9561
57,low power,low power,9488
58,embedded systems,embedded systems,9428
59,genetic algorithms,genetic algorithms,9277
60,dynamic programming,dynamic programming,9225
61,mathematical model,mathematical model,9148
62,distributed systems,distributed systems,9078
63,remote sensing,remote sensing,9033
64,preliminary results,preliminary results,9025
65,computational cost,computational cost,8970
66,cognitive radio,cognitive radio,8913
67,theoretical results,theoretical results,8863
68,social media,social media,8863
69,monte carlo,monte carlo,8796
70,cost function,cost function,8792
71,information retrieval,information retrieval,8665
72,previous studies,previous studies,8588
73,wireless networks,wireless networks,8533
74,fuzzy logic,fuzzy logic,8504
75,future research,future research,8487
76,image segmentation,image segmentation,8262
77,maximum likelihood,maximum likelihood,8203
78,speech recognition,speech recognition,8068
79,artificial intelligence,artificial intelligence,7976
80,big data,big data,7974
81,significantly improve,significantly improve,7965
82,semantic web,semantic web,7955
83,access control,access control,7921
84,special cases,special cases,7904
85,mobile robot,mobile robot,7884
86,prior knowledge,prior knowledge,7872
87,input data,input data,7865
88,web service,web service,7838
89,decision support,decision support,7807
90,computationally efficient,computationally efficient,7779
91,service providers,service providers,7716
92,extensive experiments,extensive experiments,7641
93,load balancing,load balancing,7628
94,optimal control,optimal control,7595
95,finite element,finite element,7592
96,statistical analysis,statistical analysis,7577
97,previously proposed,previously proposed,7576
98,principal component analysis,principal component analysis,7562
99,face recognition,face recognition,7465
100,proposed model,proposed model,7429
101,promising results,promising results,7412
102,performance improvement,performance improvement,7398
103,programming language,programming language,7334
104,quality of service,quality of service,7310
105,operating system,operating system,7294
106,low complexity,low complexity,7234
107,support vector machines,support vector machines,7229
108,open source,open source,7226
109,network topology,network topology,7207
110,network performance,network performance,7179
111,response time,response time,7130
112,parameter estimation,parameter estimation,7073
113,recent advances,recent advances,7056
114,empirical results,empirical results,7004
115,reinforcement learning,reinforcement learning,7003
116,sufficient condition,sufficient condition,6973
117,fault tolerance,fault tolerance,6904
118,packet loss,packet loss,6882
119,gene expression,gene expression,6879
120,practical applications,practical applications,6871
121,learning algorithm,learning algorithm,6795
122,degrees of freedom,degrees of freedom,6769
123,control system,control system,6745
124,existing algorithms,existing algorithms,6593
125,analytical model,analytical model,6504
126,extensive simulations,extensive simulations,6488
127,network traffic,network traffic,6463
128,wireless sensor network,wireless sensor network,6417
129,training set,training set,6388
130,wireless network,wireless network,6386
131,data analysis,data analysis,6378
132,supply chain,supply chain,6359
133,image quality,image quality,6358
134,an empirical study,an empirical study,6220
135,main result,main result,6213
136,next generation,next generation,6206
137,search space,search space,6196
138,routing protocol,routing protocol,6173
139,wireless sensor networks wsns,wireless sensor networks wsns,6168
140,search algorithm,search algorithm,6148
141,clustering algorithm,clustering algorithm,6136
142,analytical results,analytical results,6072
143,virtual reality,virtual reality,6030
144,error rate,error rate,6012
145,feature space,feature space,5987
146,mutual information,mutual information,5952
147,significantly reduce,significantly reduce,5945
148,image analysis,image analysis,5931
149,cellular networks,cellular networks,5929
150,performance degradation,performance degradation,5927
151,based method,based method,5836
152,user experience,user experience,5828
153,approximation algorithm,approximation algorithm,5786
154,efficient algorithms,efficient algorithms,5783
155,knowledge management,knowledge management,5748
156,distributed computing,distributed computing,5734
157,image data,image data,5728
158,user study,user study,5706
159,object recognition,object recognition,5682
160,classification accuracy,classification accuracy,5663
161,optimization problems,optimization problems,5653
162,problem solving,problem solving,5597
163,particle swarm optimization,particle swarm optimization,5564
164,second order,second order,5537
165,simulated annealing,simulated annealing,5486
166,end users,end users,5432
167,mobile phones,mobile phones,5428
168,computational results,computational results,5426
169,decision tree,decision tree,5383
170,evolutionary algorithms,evolutionary algorithms,5367
171,shortest path,shortest path,5354
172,data management,data management,5326
173,an improved,an improved,5318
174,computational efficiency,computational efficiency,5317
175,supervised learning,supervised learning,5297
176,petri nets,petri nets,5249
177,local search,local search,5246
178,operating systems,operating systems,5244
179,evolutionary algorithm,evolutionary algorithm,5211
180,development process,development process,5207
181,orthogonal frequency division multiplexing,orthogonal frequency division multiplexing,5173
182,user interfaces,user interfaces,5171
183,lessons learned,lessons learned,5139
184,physical layer,physical layer,5114
185,web applications,web applications,5108
186,software architecture,software architecture,5070
187,resource management,resource management,5068
188,significantly outperforms,significantly outperforms,5063
189,control systems,control systems,5058
190,higher order,higher order,5055
191,closed form,closed form,4999
192,sensitivity analysis,sensitivity analysis,4997
193,spectral efficiency,spectral efficiency,4997
194,search engine,search engine,4990
195,ground truth,ground truth,4966
196,scheduling algorithm,scheduling algorithm,4957
197,random variables,random variables,4948
198,performance measures,performance measures,4948
199,domain knowledge,domain knowledge,4948
200,differential equations,differential equations,4947
201,higher level,higher level,4927
202,synthetic data,synthetic data,4926
203,control scheme,control scheme,4919
204,convex optimization,convex optimization,4898
205,outage probability,outage probability,4890
206,performance metrics,performance metrics,4877
