,Phrase Quality,Phrase,Year
0,1.0,number of,1960
1,1.0,this paper,1961
2,1.0,use of,1962
3,1.0,set of,1964
4,1.0,analysis of,1964
5,1.0,the number of,1965
6,1.0,the problem,1965
7,1.0,the number,1965
8,0.996,context free,1966
9,0.8901666667,time sharing,1968
10,0.61,real time,1970
11,0.9641666667,pattern recognition,1972
12,0.8661666667,data base,1972
13,0.8501666667,programming languages,1972
14,0.6201666667,computer science,1972
15,0.8085,linear programming,1973
16,0.9742873016,problem solving,1975
17,0.9736507937,natural language,1975
18,0.9656289683,programming language,1975
19,0.9648789683,data structures,1975
20,0.9248865079,high level,1975
21,0.8997480159,data bases,1975
22,0.8365730159,data structure,1975
23,0.7739146825,paper describes,1975
24,0.7729146825,paper presents,1975
25,0.9805357143,np complete,1976
26,0.9384285714,data base management,1976
27,0.8929452381,lower bounds,1976
28,0.8726785714,lower bound,1976
29,0.6437738095,sufficient conditions,1976
30,0.6015357143,computer graphics,1976
31,0.9499344156,artificial intelligence,1977
32,0.9215844156,general purpose,1977
33,0.9336710317,finite state,1978
34,0.9214876984,data processing,1978
35,0.8967027778,large scale,1978
36,0.8336849206,worst case,1978
37,0.9786267677,dynamic programming,1979
38,0.9680870851,signal processing,1979
39,0.9597220058,operating systems,1979
40,0.9207616883,user services,1979
41,0.9146608947,digital filters,1979
42,0.8396823232,paper discusses,1979
43,0.7950243867,simulation model,1979
44,0.9894224771,adaptive control,1980
45,0.958611366,software engineering,1980
46,0.9579976076,database systems,1980
47,0.9342421741,data types,1980
48,0.8788934409,data type,1980
49,0.9843525389,information retrieval,1981
50,0.9834637111,software development,1981
51,0.9789692056,image processing,1981
52,0.9719629174,knowledge base,1981
53,0.9552453961,design automation,1981
54,0.8394013013,high speed,1981
55,0.7956795554,data flow,1981
56,0.7377319518,experimental results,1981
57,0.9886615149,user interface,1982
58,0.9826718074,relational database,1982
59,0.976369661,instruction set,1982
60,0.9696167058,fourier transform,1982
61,0.9646916135,speech recognition,1982
62,0.9573277366,maximum likelihood,1982
63,0.9519402677,distributed systems,1982
64,0.9319633274,fixed point,1982
65,0.9036219207,special purpose,1982
66,0.8610180183,isolated word,1982
67,0.8377261644,upper bound,1982
68,0.8200144174,word recognition,1982
69,0.7571703257,information systems,1982
70,0.7428016778,special case,1982
71,0.9812569595,database management,1983
72,0.9812326912,petri nets,1983
73,0.9782123269,parallel processing,1983
74,0.9761390765,concurrency control,1983
75,0.9704955279,floating point,1983
76,0.964057114,state space,1983
77,0.963279721,steady state,1983
78,0.9596029111,knowledge representation,1983
79,0.9549673292,convex hull,1983
80,0.9501243206,finite set,1983
81,0.9465446161,computational complexity,1983
82,0.9393060517,expert systems,1983
83,0.9175784284,local area,1983
84,0.8953024483,spectral estimation,1983
85,0.8896197102,functional dependencies,1983
86,0.872663415,knowledge based,1983
87,0.8132660375,high performance,1983
88,0.8097137979,decision support,1983
89,0.9875304528,logic programming,1984
90,0.9710823244,vector quantization,1984
91,0.9700033951,fault tolerant,1984
92,0.9675420478,integrated circuits,1984
93,0.9306333164,queueing networks,1984
94,0.9286989753,integrated circuit,1984
95,0.9248053576,performance evaluation,1984
96,0.9242806386,multiple access,1984
97,0.9231409709,decision making,1984
98,0.9118460538,vlsi design,1984
99,0.8876138093,optimal solution,1984
100,0.8857482754,programming environment,1984
101,0.8807425776,low cost,1984
102,0.8791855295,error correcting,1984
103,0.8733826672,sufficient condition,1984
104,0.870293499,np hard,1984
105,0.837403656,error rate,1984
106,0.8291181774,design process,1984
107,0.8144639309,upper bounds,1984
108,0.7596874301,simulation results,1984
109,0.7451775675,cet article,1984
110,0.7202243896,paper proposes,1984
111,0.9713745709,shortest path,1985
112,0.9679982151,spread spectrum,1985
113,0.9648495833,monte carlo,1985
114,0.9604702511,local area network,1985
115,0.9389818714,error probability,1985
116,0.9378450054,public key,1985
117,0.9366796817,object oriented,1985
118,0.9308813622,local area networks,1985
119,0.9276676327,information processing,1985
120,0.894703601,rule based,1985
121,0.8879158374,performance analysis,1985
122,0.885510387,low level,1985
123,0.8592721082,objective function,1985
124,0.8534729425,line segments,1985
125,0.7634923221,real world,1985
126,0.7531552606,special cases,1985
127,0.741375681,k 1,1985
128,0.6889988331,paper examines,1985
129,0.6742543276,paper reports,1985
130,0.6483651871,results obtained,1985
131,0.6031262277,0 1,1985
132,0.9921849974,frequency domain,1986
133,0.977011811,shared memory,1986
134,0.9765666901,ray tracing,1986
135,0.9661141705,object oriented programming,1986
136,0.9595516668,decision support systems,1986
