,ID,Label,Count,Year Range
0,machine learning (2010-2014),machine learning (2010-2014),10859,2010-2014
1,numerical results (2010-2014),numerical results (2010-2014),9881,2010-2014
2,wide range (2010-2014),wide range (2010-2014),9789,2010-2014
3,wireless sensor networks (2010-2014),wireless sensor networks (2010-2014),8939,2010-2014
4,cloud computing (2010-2014),cloud computing (2010-2014),8603,2010-2014
5,computational complexity (2010-2014),computational complexity (2010-2014),8339,2010-2014
6,machine learning (2015-2017),machine learning (2015-2017),8325,2015-2017
7,real time (2010-2014),real time (2010-2014),8145,2010-2014
8,power consumption (2010-2014),power consumption (2010-2014),8026,2010-2014
9,optimization problem (2010-2014),optimization problem (2010-2014),7645,2010-2014
10,real world (2010-2014),real world (2010-2014),7548,2010-2014
11,data mining (2010-2014),data mining (2010-2014),7502,2010-2014
12,proposed model (2010-2014),proposed model (2010-2014),7429,2010-2014
13,neural network (2005-2009),neural network (2005-2009),7391,2005-2009
14,neural network (2010-2014),neural network (2010-2014),7067,2010-2014
15,wireless networks (2010-2014),wireless networks (2010-2014),6843,2010-2014
16,wide range (2005-2009),wide range (2005-2009),6585,2005-2009
17,wireless sensor networks (2005-2009),wireless sensor networks (2005-2009),6423,2005-2009
18,ad hoc (2005-2009),ad hoc (2005-2009),6403,2005-2009
19,social networks (2010-2014),social networks (2010-2014),6268,2010-2014
20,large scale (2010-2014),large scale (2010-2014),6249,2010-2014
21,data mining (2005-2009),data mining (2005-2009),6138,2005-2009
22,decision making (2010-2014),decision making (2010-2014),6132,2010-2014
23,performance evaluation (2010-2014),performance evaluation (2010-2014),6107,2010-2014
24,numerical results (2015-2017),numerical results (2015-2017),6014,2015-2017
25,genetic algorithm (2010-2014),genetic algorithm (2010-2014),5977,2010-2014
26,web services (2005-2009),web services (2005-2009),5907,2005-2009
27,existing methods (2010-2014),existing methods (2010-2014),5850,2010-2014
28,case studies (2010-2014),case studies (2010-2014),5689,2010-2014
29,real time (2005-2009),real time (2005-2009),5605,2005-2009
30,numerical results (2005-2009),numerical results (2005-2009),5596,2005-2009
31,computational complexity (2005-2009),computational complexity (2005-2009),5567,2005-2009
32,ad hoc (2010-2014),ad hoc (2010-2014),5567,2010-2014
33,social network (2010-2014),social network (2010-2014),5528,2010-2014
34,wide range (2015-2017),wide range (2015-2017),5523,2015-2017
35,neural networks (2005-2009),neural networks (2005-2009),5496,2005-2009
36,machine learning (2005-2009),machine learning (2005-2009),5470,2005-2009
37,cognitive radio (2010-2014),cognitive radio (2010-2014),5391,2010-2014
38,performance analysis (2010-2014),performance analysis (2010-2014),5388,2010-2014
39,computer vision (2010-2014),computer vision (2010-2014),5381,2010-2014
40,real data (2010-2014),real data (2010-2014),5348,2010-2014
41,big data (2015-2017),big data (2015-2017),5330,2015-2017
42,an improved (2005-2009),an improved (2005-2009),5318,2005-2009
43,numerical examples (2010-2014),numerical examples (2010-2014),5306,2010-2014
44,genetic algorithm (2005-2009),genetic algorithm (2005-2009),5288,2005-2009
45,neural networks (2010-2014),neural networks (2010-2014),5241,2010-2014
46,resource allocation (2010-2014),resource allocation (2010-2014),5220,2010-2014
47,support vector machine (2010-2014),support vector machine (2010-2014),5092,2010-2014
48,image processing (2010-2014),image processing (2010-2014),5086,2010-2014
49,feature extraction (2010-2014),feature extraction (2010-2014),5068,2010-2014
